"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Euro area","EMU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1269000000","1310000000","1489000000","1691000000","2348000000","1943000000","2801000000","2591000000","2640000000","2681000000","3484000000","4401000000","4453000000","3663000000","3961000000","4655000000","4574000000","5490000000","6119000000","6275000000","7310000000","8474000000","8164000000","7936000000","7919000000","6833000000","5225000000","4047000000","4637000000","4585000000","4289000000","4540000000","3346000000","3534000000","4863000000","3578000000","4945000000","6052000000","6293000000","4832000000","3362000000","2961000000","3290000000","3956000000","4131000000","5597000000","7328000000","8530000000","6301000000","6816000000","4935000000","6231000000","4215000000","4378000000","5990000000","6244000000","6739000000","6656000000",
"Eritrea","ERI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","0","","","","","","","0","","","","","","","","","","","",
"Spain","ESP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1000000","5000000","6000000","6000000","7000000","21000000","21000000","7000000","7000000","6000000","70000000","140000000","4000000","4000000","84000000","267000000","46000000","25000000","38000000","18000000","10000000","130000000","251000000","352000000","242000000","85000000","177000000","148000000","141000000","174000000","108000000","100000000","65000000","98000000","237000000","82000000","105000000","625000000","162000000","43000000","46000000","8000000","16000000","95000000","52000000","108000000","840000000","601000000","602000000","951000000","263000000","1429000000","546000000","728000000","1050000000","1163000000","507000000","814000000",
"Estonia","EST","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","","","","","","","","","","","","","","","","","","0","","",
"Ethiopia","ETH","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","35000000","","51000000","","","","","","","","","","17000000","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3479000000","2534000000","2660000000","3112000000","4072000000","3702000000","4534000000","5080000000","4670000000","4832000000","4901000000","7375000000","7244000000","6640000000","6614000000","7442000000","7484000000","8053000000","8658000000","8262000000","9381000000","11372000000","11184000000","10902000000","10938000000","9392000000","7909000000","8241000000","8027000000","8587000000","6577000000","6331000000","4761000000","5508000000","7320000000","5600000000","7153000000","8629000000","8109000000","6902000000","5502000000","5416000000","4735000000","5433000000","5698000000","7448000000","9051000000","10089000000","7846000000","8403000000","6789000000","7990000000","5776000000","6706000000","8052000000","7821000000","8595000000","8081000000",
"Fragile and conflict affected situations","FCS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","","","","3000000","","","2000000","","","14000000","1000000","0","","","","","","","","123000000","","346000000","60000000","55000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","60000000","1000000","1000000","","","1000000","86000000","33000000","33000000","33000000","2000000","39000000","30000000","","63000000","63000000","","","63000000","63000000","","","20000000","","","","","","1000000","","","22000000","11000000","17000000","26000000","26000000","9000000","10000000","34000000","28000000","12000000","33000000","34000000","40000000","34000000","51000000","137000000","77000000","79000000","51000000","60000000","40000000","102000000","75000000","91000000","23000000","66000000","58000000",
"Fiji","FJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","10000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","909000000","940000000","974000000","1232000000","1417000000","1196000000","1646000000","1533000000","1483000000","1460000000","1692000000","2298000000","2602000000","2881000000","2096000000","2184000000","2004000000","2674000000","3295000000","3010000000","3842000000","3785000000","3826000000","3455000000","3002000000","4019000000","3022000000","1799000000","1956000000","2197000000","1712000000","1111000000","1185000000","929000000","851000000","971000000","1892000000","3230000000","3145000000","1854000000","1113000000","1457000000","1474000000","1441000000","2324000000","1842000000","1706000000","2410000000","2007000000","1929000000","897000000","1758000000","1035000000","1492000000","1697000000","2077000000","2278000000","2162000000",
